"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000124208",529.427260872946,0.455619616223735,0.137953917401754,3.30269429679814,0.000957607214901756,0.00613500517494556
"ENSG00000182463",31.2231423174851,-0.674638738281562,0.341216530083227,-1.97715725588385,0.0480238575053709,0.148921327971094
"ENSG00000124201",225.128032833452,0.0815272368694164,0.156266126893958,0.521720468088012,0.601864971432529,0.782110528766372
"ENSG00000124207",73.8354725014805,0.442678304876642,0.226416954541938,1.95514644993004,0.0505657870418294,0.154804231880435
"ENSG00000125835",167.933332677573,0.278540426641051,0.206990963712,1.34566466886256,0.178410685583194,0.373688878876983
"ENSG00000125834",66.8583944007577,-0.2757085048029,0.246203074371001,-1.11984184400328,0.262781164381203,0.480310422825221
"ENSG00000197818",31.233816718266,-0.330503604862403,0.321787213821571,-1.02708743749422,0.304379293522315,0.527215183084961
"ENSG00000215443",4.53516654422552,-1.0291182707988,0.944394218592144,-1.08971259092729,0.275839768032644,0.495670699115818
"ENSG00000198641",8.49787099888021,0.542656997371936,0.623881098865863,0.869808363097419,0.38440514037029,0.607430047085843
"ENSG00000101181",26.2394188914372,-0.135417915256725,0.37376265692633,-0.362309911777559,0.717120452103865,0.855976117132111
"ENSG00000101442",11.9512033120759,0.244615725244283,0.566672137422924,0.431670641787209,0.665980807883176,0.822986484538087
"ENSG00000101336",2.14502647790089,-1.28705537511864,1.58104550228402,-0.814053342082394,0.415614393332189,NA
"ENSG00000101444",48.5771263936735,0.654141958784481,0.27026647082591,2.42035927277801,0.015505179489769,0.0619269177201782
"ENSG00000101333",2575.4009416346,0.391410427971915,0.0931692909563977,4.20106693905282,2.65660021265001e-05,0.000264937682838601
"ENSG00000087495",10.3299215093208,-0.136146848237502,0.608710429525461,-0.223664392186675,0.823018454936106,0.917290088543627
"ENSG00000171703",36.996572793144,0.585909406733176,0.344554805774062,1.70048246872336,0.0890402112508775,0.232533020046793
"ENSG00000101421",56.9390700750883,0.0152254481109038,0.261161269650963,0.0582990277664539,0.953510441929742,0.977496263605615
"ENSG00000174365",4.67261330638638,-2.08714272284215,0.889576438731038,-2.34622077650732,0.0189648701254938,0.0726464012582013
"ENSG00000088826",37.3390000735436,-0.514192812808107,0.289357147786771,-1.77701783674969,0.0755653051780406,0.206858148178171
"ENSG00000125901",23.5586344158166,0.808933821372148,0.427940923518089,1.89029320851562,0.058718756598516,0.17179757636313
"ENSG00000149636",42.7739689344194,-0.270820457304738,0.347919798351579,-0.77839909826307,0.436333770211169,0.65575587572042
"ENSG00000078699",623.805738758437,0.539570391435022,0.10206803190415,5.28637989161702,1.24760666446599e-07,1.94261773556709e-06
"ENSG00000130684",223.48255688715,0.367881781680421,0.138653506085008,2.65324543221341,0.00797218800549874,0.0362856843931766
"ENSG00000186191",1.94013491693456,-0.772560261970156,1.66479072465803,-0.464058485266279,0.642605844118125,NA
"ENSG00000219431",9.6233978569033,-0.154127633442986,0.601675424778898,-0.256164082984816,0.797824141133826,0.901545244170452
"ENSG00000101384",56.4612032731176,-0.704173252939052,0.238562611963328,-2.95173349731473,0.00315995530597512,0.0169558663041799
"ENSG00000101439",7.57620927140638,-0.289355488095448,0.790466315615188,-0.366056696382128,0.71432276949752,0.855114945461945
"ENSG00000218544",10.1605654241365,0.985223604828562,0.580500708420926,1.69719621446899,0.0896595705854199,0.233325448480532
"ENSG00000218548",1.52928422083353,0.436846763104402,1.62885315835577,0.268192845293293,0.788550881963102,NA
"ENSG00000130703",94.6604017852986,-0.308252546656436,0.199079050683034,-1.54839268922989,0.121527780313038,0.289283001848451
"ENSG00000130706",43.0144523647137,-0.155177391166889,0.340308702403894,-0.455990076277029,0.648397114348644,0.813089293130287
"ENSG00000101132",15.0932862135793,-1.21293801096368,0.49434003223654,-2.45365119526328,0.0141414076716787,0.0574356034748833
"ENSG00000179242",6.38776412922074,0.173341801256617,0.711422167808787,0.243655327455592,0.807497774222172,0.907726370831018
"ENSG00000089101",33.0419737363923,0.116070708386934,0.44512553103417,0.260759494332451,0.794277982826279,0.899779969811576
"ENSG00000203880",193.285599066126,0.770005609232668,0.169840035241873,4.53371084229986,5.79563573490189e-06,6.59703226238315e-05
"ENSG00000125995",4.46170932463364,1.20961538273167,1.1647860341878,1.03848719612708,0.299043293194942,0.521725241706617
"ENSG00000101158",70.9931004539023,0.349320227238992,0.221562431044602,1.57662210868534,0.114882502513147,0.277974814583763
"ENSG00000125991",423.267854824388,-0.150022119299772,0.150818948924986,-0.994716647802587,0.31987409527459,0.542561975192656
"ENSG00000168612",15.3013074137109,1.00037719827671,0.513630002513404,1.94766114397807,0.0514555223257979,0.156656379245985
"ENSG00000101150",562.441926814932,-0.0355336927230933,0.0987855455530028,-0.359705385278536,0.719067464382619,0.857158239613671
"ENSG00000158470",41.3138772621529,-0.604310850981593,0.303871278865099,-1.98870670909925,0.0467335850333728,0.146184065599133
"ENSG00000132826",1.5299968440267,0.0416282765362415,1.40997909117979,0.0295240381908141,0.976446647591889,NA
"ENSG00000124181",91.6597751835544,1.16300047774982,0.223243849135911,5.20955216572075,1.89296981083611e-07,2.88623249218014e-06
"ENSG00000132821",23.245747864769,1.22902203586822,0.466148555152626,2.63654584420157,0.00837548819487049,0.0376379994678816
"ENSG00000217307",1.70639051579348,-2.69596321204147,1.59208917498624,-1.69334937665459,0.0903889846933454,NA
"ENSG00000217305",24.6817362631142,-0.277044535024083,0.367245143382196,-0.754385837407139,0.450617573224979,0.667184843783654
